time ax ay az
618669704191477 -0.899701 9.802796 2.216053 
618669724215592 -0.621835 9.975378 2.462813 
618669744256060 -0.236291 10.080663 2.584847 
618669764280123 0.084646 10.102198 2.731108 
618669784265956 0.273978 10.274780 2.731108 
618669804290123 0.211765 10.118948 2.671287 
618669824341581 -0.085244 10.025628 2.654538 
618669844365696 -0.370289 9.994521 2.568097 
618669864407987 -0.322433 9.905687 2.603989 
618669884432102 -0.166899 10.049556 2.340480 
618669904421790 -0.214756 10.238888 2.218446 
618669924445904 -0.269791 9.975378 2.829214 
618669944470540 -0.360718 9.876974 3.061617 
618669964494654 -0.226720 10.073484 2.853142 
618669984491060 -0.176471 10.123734 2.671287 
618670004515175 -0.281755 10.135697 2.491527 
618670024580071 -0.387338 10.032806 2.280659 
618670044604185 -0.355932 10.056734 2.275873 
618670064626060 -0.250648 10.054341 2.647359 
618670084650175 -0.171685 10.001699 2.781357 
618670104658769 -0.140578 10.104591 2.776572 
618670124682883 -0.183649 10.118948 2.692823 
618670144735696 -0.387338 10.001699 2.613560 
618670164759810 -0.566800 9.867402 2.733501 
618670184778925 -0.741775 9.876974 2.848356 
618670204803040 -0.691526 9.809975 2.843571 
618670224818821 -0.511765 9.915258 2.711965 
618670244842935 -0.226720 10.303494 2.580061 
618670264854602 -0.353540 10.502398 2.745465 
618670284878665 -0.535693 9.762118 2.930011 
618670304908821 -0.794417 9.647263 2.937190 
618670324932935 -0.492622 10.054341 2.800500 
618670344964967 -0.308076 10.173983 2.676073 
618670364989081 -0.176471 10.222138 2.747858 
618670385007050 -0.447159 9.898509 2.913262 
618670405031165 -1.077069 9.469894 3.121437 
618670425075956 -1.371686 9.373882 3.090330 
618670445100071 -0.962214 9.881760 3.111866 
618670465121373 -0.367896 10.006485 3.310769 
618670485145435 -0.658026 9.884152 3.375376 
618670505158717 -1.144068 9.632607 2.987439 
618670525182779 -0.950250 9.833903 2.556133 
618670545203873 -0.631406 10.109377 2.630310 
618670565227987 -0.715454 10.042377 2.884248 
618670585249185 -0.854238 9.879367 3.229413 
618670605273300 -0.878166 9.944272 3.387340 
618670625302050 -0.708275 9.968200 3.166901 
618670645326217 -0.765703 10.039985 2.769393 
618670665343821 -0.902094 10.116555 2.568097 
618670685367987 -0.739382 10.193424 2.707180 
618670705390904 -0.746561 10.250853 2.927619 
618670725415071 -1.182353 9.970592 3.011367 
618670745456060 -1.611267 9.781260 2.853142 
618670765480227 -1.182353 10.030414 2.776572 
618670785517623 -0.787239 10.332209 2.723929 
618670805541790 -1.022034 10.243673 2.570490 
618670825551008 -1.259223 10.051949 2.137090 
618670845575175 -0.748953 10.205389 2.278266 
618670865602623 -0.535693 10.303494 2.465205 
618670885626790 -0.854238 10.289138 2.479563 
618670905655644 -0.406481 10.004092 3.066402 
618670925679810 0.082253 9.783653 3.229413 
618670945699758 -0.145364 9.364311 2.448456 
618670965723925 -0.288933 8.691330 2.065006 
618670985748508 0.518345 8.722437 2.556133 
618671005772675 1.344766 8.530712 2.393421 
618671025796008 0.887139 8.066205 1.868794 
618671045820175 1.797608 8.116454 1.782354 
618671065847675 3.297010 7.927122 2.405385 
618671085871790 3.723531 7.330711 3.052045 
618671105892987 3.929314 7.057631 3.384947 
618671125917154 5.335695 7.000203 3.119044 
618671145951790 5.592027 6.623931 1.897508 
618671165975904 4.046861 5.728118 0.599103 
618671186014446 5.469694 5.028517 1.746461 
