time gx gy gz
618669704191477 0.061251 0.008522 0.056591 
618669724215592 0.042077 -0.187481 0.185484 
618669744256060 0.041011 -0.213047 0.203593 
618669764280123 -0.015446 -0.073501 0.155657 
618669784265956 -0.033555 0.046870 0.071504 
618669804290123 -0.017576 0.115045 -0.021172 
618669824341581 -0.016511 0.145937 -0.048868 
618669844365696 0.045272 0.063914 -0.030759 
618669864407987 0.090012 -0.014913 0.017177 
618669884432102 0.069773 0.043675 0.064047 
618669904421790 -0.002663 0.043675 0.038482 
618669924445904 -0.067642 -0.003196 -0.011584 
618669944470540 -0.071903 0.120371 -0.005193 
618669964494654 -0.033555 0.197068 0.011851 
618669984491060 -0.004794 0.202394 -0.020106 
618670004515175 -0.002663 0.164046 -0.061650 
618670024580071 -0.011185 0.115045 -0.065911 
618670044604185 -0.030359 0.040479 -0.036085 
618670064626060 -0.009054 -0.101197 -0.035020 
618670084650175 0.007989 -0.088414 -0.052063 
618670104658769 -0.038881 0.070305 -0.074433 
618670124682883 -0.074034 0.172568 -0.121303 
618670144735696 -0.052729 0.117176 -0.166043 
618670164759810 -0.047403 0.049001 -0.167108 
618670184778925 -0.092143 0.124632 -0.124499 
618670204803040 -0.142209 0.269504 -0.070172 
618670224818821 -0.228492 0.441006 -0.026498 
618670244842935 -0.280822 0.394136 -0.053128 
618670264854602 -0.201862 0.066044 -0.162848 
618670284878665 -0.076164 -0.173633 -0.213979 
618670304908821 -0.056990 -0.100132 -0.142608 
618670324932935 -0.099599 0.049001 -0.026498 
618670344964967 -0.102795 0.022370 -0.059520 
618670364989081 -0.060186 -0.204525 -0.161782 
618670385007050 -0.011185 -0.332353 -0.278958 
618670405031165 -0.059120 -0.156589 -0.274697 
618670425075956 -0.206123 0.274830 -0.070172 
618670445100071 -0.236082 0.381353 0.113048 
618670465121373 -0.076164 0.145937 0.087482 
618670485145435 0.126230 -0.055392 -0.033954 
618670505158717 0.260449 -0.141676 -0.040346 
618670525182779 0.212514 -0.110784 0.102396 
618670545203873 0.009054 0.072436 0.151396 
618670565227987 -0.096404 0.147002 0.096004 
618670585249185 -0.004794 -0.022370 0.081091 
618670605273300 0.233819 -0.288678 0.129026 
618670625302050 0.460713 -0.461246 0.166310 
618670645326217 0.442604 -0.348331 0.183353 
