time ax ay az
2121352852047 9.973285 1.907379 0.623031
2121372873037 10.037891 1.943271 0.608674
2121392900172 9.918250 1.904986 0.481855
2121412921162 9.661919 1.837987 0.486640
2121432945016 9.489336 1.785046 0.570389
2121452966058 9.558728 1.826023 0.699602
2121472963766 9.602098 1.845165 0.802792
2121492984808 9.647562 1.826023 0.762114
2121513023454 9.628419 1.799403 0.615853
2121533044443 9.549157 1.808974 0.529711
2121553069495 9.491729 1.828416 0.491426
2121573090537 9.424730 1.818545 0.572782
2121593099027 9.410374 1.816152 0.666102
2121613120068 9.565907 1.854737 0.637388
2121633133193 9.640384 1.830808 0.632603
2121653154235 9.585050 1.823630 0.740279
2121673175902 9.582657 1.808974 0.766900
2121693196943 9.577870 1.777867 0.781257
2121713214391 9.623633 1.753939 0.843470
2121733235433 9.740882 1.775474 0.853041
2121753265068 9.783953 1.808974 0.836291
2121773286110 9.805488 1.797010 0.697209
2121793301162 9.788738 1.792224 0.565603
2121813322204 9.779167 1.777867 0.505783
2121833346527 9.712168 1.792224 0.560818
2121853367568 9.695418 1.787439 0.570389
2121873385850 9.690633 1.799403 0.541675
2121893406891 9.642776 1.826023 0.532104
2121913433297 9.609277 1.833201 0.536890
2121933454339 9.626026 1.859522 0.503390
2121953482308 9.626026 1.857129 0.515354
2121973503350 9.556335 1.857129 0.608674
2121993533297 9.623633 1.907379 0.670888
2122013554339 9.704989 1.940878 0.603889
2122033561631 9.671490 1.904986 0.575175
2122053582672 9.714561 1.936093 0.663709
2122073606370 9.817452 1.952842 0.694816
2122093627412 9.836595 1.960021 0.651745
2122113646683 9.819845 1.998306 0.589532
2122133667725 10.011570 2.134996 0.608674
2122153689860 10.902597 2.506183 0.599103
2122173710902 12.498012 3.112165 0.496212
2122193740277 14.543875 3.852444 0.611067
2122213761318 17.478373 4.693223 0.694816
2122233785485 19.916958 5.687440 1.162014
2122253806527 19.346869 5.912665 1.811068
2122273818037 17.176579 5.474180 1.061516
2122293839079 18.077177 6.010770 -0.105284
2122313854547 19.480867 6.276673 0.076869
2122333875589 16.321144 5.026124 1.475773
2122353880693 10.533804 3.416353 1.849652
2122373901735 5.886643 2.429612 1.310669
2122393941422 3.320939 1.509572 0.848256
2122413962464 1.922035 0.426820 0.096012
2122433967985 0.384048 -1.043869 0.110369
2122453988975 -1.414756 -3.638287 1.425524
2122474040381 -3.328715 -9.715458 2.053042
2122494061422 -12.807882 -22.224836 1.645963
2122514066110 -37.830826 -32.601910 6.139684
2122534087152 -55.991154 -40.209888 11.627922
2122554119443 -34.057941 -52.515579 5.866603
2122574140485 17.181364 -57.447784 -10.264312
2122594162047 66.398735 -36.803707 -25.473392
2122614183089 78.186974 -12.767504 2.048256
2122634191266 77.964142 0.043669 42.941597
2122654212256 65.553169 -0.351745 22.546371
2122674238558 45.857548 1.682154 -2.577369
2122694259600 32.464321 6.489933 2.738286
2122714279287 30.789944 8.233703 8.065906
2122734300329 25.833811 5.136493 3.090330
2122754321683 15.717555 -1.110868 -2.359323
2122774342725 6.049355 -7.061220 -4.599005
2122794378454 -0.717847 -12.003296 -4.074379
2122814399600 -5.065606 -20.660528 -2.735295
2122834380277 -18.734306 -32.580376 4.489234
2122854401370 -52.634918 -42.792343 16.299011
2122874446787 -73.269722 -51.507004 18.450157
2122894467933 -37.267914 -63.189659 2.560918
2122914486370 45.035912 -58.980984 -16.195520
2122934507516 78.186974 -9.394521 -18.215063
2122954517204 76.169823 12.581462 9.258728
