time ax ay az
2251852514138 0.273978 1.088136 9.804890
2251872535388 0.197408 1.150349 9.785748
2251892549815 0.288335 1.191028 9.603594
2251912571065 0.580559 1.332503 9.340084
2251932577003 1.198505 1.622334 9.457631
2251952598253 1.526920 1.756332 9.639486
2251972657003 1.215255 1.550250 9.697213
2251992678253 0.968794 1.198206 10.013365
2252012660180 1.383052 1.078565 10.571490
2252032681378 1.692025 1.425823 10.116256
2252052724190 1.831107 1.808974 9.562916
2252072745388 1.730310 1.792224 9.641879
2252092757836 1.651347 1.504786 9.895817
2252112779034 1.555634 1.495215 9.970294
2252132805596 1.668097 1.722832 9.718748
2252152826846 1.809572 1.876272 9.476774
2252172857419 1.553241 1.765903 9.512667
2252192878617 1.375873 1.523929 9.982258
2252212883982 1.569991 1.495215 9.984651
2252232905180 1.507478 1.572084 9.632308
2252252932992 1.066900 1.377967 9.637094
2252272954242 0.975973 1.219741 9.910174
2252292977784 1.076471 1.301396 10.152148
2252312998982 1.363909 1.351646 10.056436
2252333018409 1.284946 1.449751 9.881460
2252353039659 0.887139 1.159921 9.639486
2252373057159 0.547059 1.083350 9.613165
2252393078357 0.645165 1.143171 9.840782
2252413107211 0.975973 0.932304 9.883853
2252433128461 0.580559 1.279562 10.154541
2252453156273 0.745962 1.339682 9.833604
2252473177523 0.645165 1.198206 9.448060
2252493195700 0.364905 1.214956 9.460024
2252513216898 0.283549 1.088136 9.658928
2252533240596 0.376870 1.013959 9.802497
2252553261794 0.463310 0.958625 9.939187
2252573270128 0.678664 0.977767 10.190434
2252593291378 0.879961 1.061815 10.056436
2252613316690 0.750748 1.100100 9.989436
2252633337940 0.676271 1.088136 10.022936
2252653384919 0.757927 1.150349 9.955936
2252673406117 0.808176 1.214956 9.867104
2252693404711 0.870389 1.370788 9.742677
2252713425961 1.150649 1.543072 9.783355
2252733457628 1.821536 1.845165 9.936794
2252753478825 2.437090 2.074876 9.795319
2252773506013 2.866003 2.297708 9.366405
2252793527211 2.997609 2.657230 8.710174
2252813551794 2.669493 2.347957 8.080263
2252833572992 2.968895 2.393720 7.644171
2252853591013 3.917350 2.848655 6.944570
2252873612263 4.813462 3.330211 4.767101
2252893618825 6.866205 3.775874 1.890330
2252913640075 9.367303 4.503891 0.853041
2252933649815 10.251151 4.508676 1.372882
2252953671013 10.198509 3.929015 2.088934
2252973694346 9.534800 3.718446 2.448456
2252993715596 4.925924 2.774478 -0.450150
2253013745128 -4.354040 -3.503990 -5.679365
2253033766430 -13.727624 -15.040685 -1.750948
2253053814503 -16.252350 -27.945177 26.113472
2253073835805 -10.699805 -33.732517 73.035828
2253093834555 18.256937 -34.916069 78.914391
2253113855857 17.310575 -28.651659 28.230820
2253133899294 -17.263319 -12.669099 -19.688145
2253153920596 -4.172185 1.037887 1.365704
2253173920700 12.177074 10.068699 9.747462
2253193942003 4.892425 7.038488 -2.493620
2253213979503 3.591627 5.368896 -1.748555
2253234000805 4.260122 1.226920 3.227021
2253254034190 -0.882952 -2.045265 5.967401
2253274055492 -3.886841 -1.520639 1.090230
2253294040023 -6.696912 -2.406880 -6.666404
2253314061378 -8.033603 -3.010470 -7.835298
2253334137419 -9.676874 -2.751746 -4.603791
2253354158773 -18.633509 -7.226624 -5.305785
2253374173878 -20.760727 -18.447166 -2.543869
2253394195180 -5.805885 -32.273792 14.042579
2253414184450 8.737093 -36.549767 48.779484
2253434205805 23.991636 -30.034111 78.914391
2253454262263 33.499218 -24.047569 76.775208
2253474283565 12.114861 -25.396223 28.532616
2253494297888 -26.969803 -19.625631 -9.392427
2253514319242 -8.996415 -5.190331 13.819747
2253534331794 9.060423 3.620042 12.432807
2253554353148 4.279264 5.711369 -10.290633
2253574382732 3.416951 7.028916 -13.119846
2253594404086 1.517349 4.736293 -9.553045
2253614426586 -0.631406 2.335993 -8.855837
2253634447940 -1.283151 1.806581 -8.048558
2253654468148 -2.052145 1.444966 -5.399105
2253674489503 -0.842274 0.412463 -1.528116
2253694512211 3.505485 -0.687039 5.085945
2253714533565 6.911967 -1.192523 12.015858
2253734532211 7.319046 -1.115654 12.710674
2253754553565 9.843773 0.604188 12.099906
2253774595596 14.289937 2.755335 13.985151
2253794616950 15.588343 3.464508 14.617455
2253814640648 12.572489 3.174677 11.522338
2253834662003 9.963714 2.865405 9.666106
2253854682107 9.209077 3.198606 9.428918
2253874703461 8.837891 3.541078 9.460024
2253894683930 8.178967 3.615256 8.362915
2253914705232 7.395617 3.610470 6.492027
2253934726065 7.124928 3.632006 5.382954
2253954747367 7.366903 3.538686 5.490631
2253974771846 7.117750 3.253641 6.010471
2253994793148 6.751349 2.879762 6.468099
2254014809867 6.705885 2.750550 6.556633
2254034831169 7.165606 2.798406 6.812964
2254054880232 7.592127 2.908775 6.964011
2254074901534 7.898707 2.994917 6.822536
2254094920961 8.238788 3.251248 6.597311
2254114942263 8.313264 3.279962 6.223732
2254134964711 8.408977 3.406781 5.651249
2254154986013 8.648559 3.586542 5.313262
2254175006794 8.852247 3.732803 5.188836
2254195028096 9.089436 3.885944 4.875077
2254215052367 8.861818 3.828516 4.324130
2254235073669 8.145468 3.699005 3.974179
2254255092523 7.690233 3.761517 3.909573
2254275113825 8.159824 4.092026 3.718147
2254295136690 8.655737 4.281358 2.970689
2254315157992 8.344371 4.123133 2.379064
2254335161117 7.659126 3.996313 1.677070
2254355182419 6.952645 3.893122 0.841077
2254375221325 5.946464 3.457330 -0.054736
2254395242628 4.497310 3.217748 -1.197608
2254415264242 0.822533 2.386541 -2.879164
2254435285596 -5.808278 -2.567499 -5.434998
2254455304294 -15.354145 -13.112369 -0.402293
2254475325596 -19.630119 -27.638597 23.638695
2254495349294 -6.646663 -35.567513 64.752472
2254515370596 31.745876 -30.285658 78.914391
2254535395857 43.416569 -13.739886 39.832123
2254555417159 -4.574479 -7.760821 -24.536602
2254575433617 -13.485649 -1.944468 -5.521438
2254595454919 13.180863 7.974979 23.794527
2254615475961 10.605588 6.935297 8.547162
2254635497263 4.521238 5.998806 -5.185845
2254655519034 4.032505 4.738686 2.968297
2254675540336 1.653740 1.226920 11.699706
2254695565232 -2.030609 0.062812 9.421740
2254715586534 -4.308576 -0.425922 2.472384
2254735570544 -4.828417 -0.679861 -1.906481
2254755591846 -5.350650 -0.675075 -2.771487
2254775655596 -10.702198 -1.750649 -7.167102
2254795676898 -17.158033 -9.940682 -10.384252
2254815691846 -15.169599 -26.193930 -0.785444
2254835713148 -4.318148 -49.971409 22.345375
2254855733669 13.140185 -56.259747 66.180092
2254875754971 39.741795 -38.858841 78.914391
2254895744971 46.288555 -32.829525 49.215279
2254915766273 7.098608 -25.386652 -8.038987
2254935818513 -22.859234 -13.701602 -6.424430
2254955839815 -1.745564 -6.740282 18.567705
2254975861898 8.845069 -1.019941 13.129717
2254995883253 7.034001 3.323032 -2.680260
2255015904919 4.365406 6.729515 -9.392427
2255035926325 0.875175 7.982157 -8.355139
2255055932836 1.007079 6.485147 -5.531010
2255075954294 0.226122 5.038088 -3.681657
2255095974294 -2.006681 2.755335 -3.327220
2255115995753 -3.096611 2.053341 -2.318645
2255136018096 -2.643770 2.314458 -0.816551
2255156039555 -1.872384 1.995913 -0.318245
2255176059971 0.487238 1.217349 0.579960
2255196081378 3.201298 -1.137189 4.340879
2255216117263 5.587241 -2.749353 8.482556
