ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,ax15,ay15,az15,gx15,gy15,gz15,ax16,ay16,az16,gx16,gy16,gz16,ax17,ay17,az17,gx17,gy17,gz17,ax18,ay18,az18,gx18,gy18,gz18,ax19,ay19,az19,gx19,gy19,gz19,target
-12.807882,-22.224836,1.645963,0.739937,-1.977206,-5.610715,-12.807882,-22.224836,1.645963,0.361780,-1.978271,-3.616466,-12.807882,-22.224836,1.645963,-0.346600,0.500526,4.060802,-12.807882,-22.224836,1.645963,0.406520,1.948178,14.943622,-12.807882,-22.224836,1.645963,1.318359,2.530994,22.784935,-12.807882,-22.224836,1.645963,-2.700898,6.705642,22.992655,-12.807882,-22.224836,1.645963,-9.321455,4.514458,14.342830,-12.807882,-22.224836,1.645963,-5.425898,-5.072906,4.020323,-12.807882,-22.224836,1.645963,2.416614,-3.945889,-1.491326,-12.807882,-22.224836,1.645963,3.180386,-0.229158,-3.165873,-12.807882,-22.224836,1.645963,0.192408,0.978816,-4.394086,-12.807882,-22.224836,1.645963,-0.223033,1.421953,-5.689543,-12.807882,-22.224836,1.645963,1.654973,0.560179,-7.759291,-12.807882,-22.224836,1.645963,2.891708,-0.816102,-9.656604,-12.807882,-22.224836,1.645963,2.693575,-1.847247,-10.465116,-12.807882,-22.224836,1.645963,1.677343,-2.417147,-10.307461,-12.807882,-22.224836,1.645963,0.442737,-2.451234,-9.723713,-12.807882,-22.224836,1.645963,-0.952851,-1.962292,-9.071657,-12.807882,-22.224836,1.645963,-1.040200,-1.213434,-6.080483,-12.807882,-22.224836,1.645963,0.819830,-0.084287,3.686905,0
-26.802006,-24.529123,-0.596112,1.151117,-1.561765,-5.650129,-26.802006,-24.529123,-0.596112,0.481086,-1.669353,-2.003703,-26.802006,-24.529123,-0.596112,0.552456,-0.570033,6.196727,-26.802006,-24.529123,-0.596112,1.351381,2.077071,15.218451,-26.802006,-24.529123,-0.596112,0.127429,5.611648,20.822775,-26.802006,-24.529123,-0.596112,-5.360919,7.144651,19.402821,-26.802006,-24.529123,-0.596112,-7.804563,0.243805,10.597338,-26.802006,-24.529123,-0.596112,-2.794639,-4.582899,2.776130,-26.802006,-24.529123,-0.596112,1.020094,0.004128,-0.460181,-26.802006,-24.529123,-0.596112,0.795330,1.483736,-3.729381,-26.802006,-24.529123,-0.596112,0.878418,0.153260,-5.907916,-26.802006,-24.529123,-0.596112,2.318613,-0.124765,-6.937996,-26.802006,-24.529123,-0.596112,3.351889,-0.921560,-9.139832,-26.802006,-24.529123,-0.596112,3.161212,-2.566413,-11.204388,-26.802006,-24.529123,-0.596112,1.911694,-3.307815,-11.875484,-26.802006,-24.529123,-0.596112,0.445933,-3.014876,-11.390803,-26.802006,-24.529123,-0.596112,-0.874024,-2.487452,-10.900796,-26.802006,-24.529123,-0.596112,-1.130745,-2.139121,-9.544754,-26.802006,-24.529123,-0.596112,0.278692,-1.299717,-3.666532,-26.802006,-24.529123,-0.596112,2.115153,0.781748,7.755163,0
-26.359035,-28.862526,5.013861,1.391860,-2.110360,-6.233877,-26.359035,-28.862526,5.013861,1.121291,-0.710644,-1.799179,-26.359035,-28.862526,5.013861,1.935129,1.074687,7.851034,-26.359035,-28.862526,5.013861,3.416868,2.405296,17.957165,-26.359035,-28.862526,5.013861,2.337787,6.201787,24.426592,-26.359035,-28.862526,5.013861,-6.573153,12.935390,24.685444,-26.359035,-28.862526,5.013861,-16.682482,9.563795,15.028840,-26.359035,-28.862526,5.013861,-9.084973,-4.766119,2.562019,-26.359035,-28.862526,5.013861,4.800739,-4.939752,-3.650553,-26.359035,-28.862526,5.013861,6.118432,-1.356175,-4.839487,-26.359035,-28.862526,5.013861,1.774279,0.912772,-4.497414,-26.359035,-28.862526,5.013861,0.972158,1.361235,-4.803269,-26.359035,-28.862526,5.013861,2.649900,-0.175897,-7.174478,-26.359035,-28.862526,5.013861,3.808874,-2.584522,-10.194547,-26.359035,-28.862526,5.013861,3.462673,-4.301677,-12.037399,-26.359035,-28.862526,5.013861,2.054435,-4.428440,-12.120487,-26.359035,-28.862526,5.013861,0.337279,-3.586906,-11.414238,-26.359035,-28.862526,5.013861,-0.988004,-3.031919,-10.977492,-26.359035,-28.862526,5.013861,-0.716369,-1.840856,-8.763805,-26.359035,-28.862526,5.013861,1.562297,0.281088,0.045805,0
-11.598011,-24.419054,0.898505,-0.220903,-3.567732,-8.410148,-11.598011,-24.419054,0.898505,-1.854038,-2.838047,-6.315900,-11.598011,-24.419054,0.898505,-1.995714,0.360981,0.643534,-11.598011,-24.419054,0.898505,0.656849,1.997179,10.457792,-11.598011,-24.419054,0.898505,3.164408,2.698235,18.210691,-11.598011,-24.419054,0.898505,2.766011,4.546414,22.289602,-11.598011,-24.419054,0.898505,-3.004490,8.862872,24.201828,-11.598011,-24.419054,0.898505,-12.666420,10.666311,19.680845,-11.598011,-24.419054,0.898505,-12.776138,-1.671484,8.321867,-11.598011,-24.419054,0.898505,-0.760044,-5.084623,-0.525160,-11.598011,-24.419054,0.898505,4.688890,-0.549793,-3.607944,-11.598011,-24.419054,0.898505,1.467492,0.240610,-4.159735,-11.598011,-24.419054,0.898505,0.339410,1.518889,-4.114995,-11.598011,-24.419054,0.898505,2.191850,1.165232,-5.673564,-11.598011,-24.419054,0.898505,3.408346,-0.933277,-8.675391,-11.598011,-24.419054,0.898505,3.113277,-2.896635,-11.208648,-11.598011,-24.419054,0.898505,2.054435,-3.496361,-12.095987,-11.598011,-24.419054,0.898505,0.776155,-3.111812,-11.588937,-11.598011,-24.419054,0.898505,-0.191076,-2.794373,-10.834751,-11.598011,-24.419054,0.898505,-0.538342,-2.687849,-10.715446,0
20.613869,6.628717,2.956332,-1.082809,1.611564,-2.654561,20.613869,6.628717,2.956332,-0.822892,1.587064,-3.539769,20.613869,6.628717,2.956332,-0.263512,1.183341,-4.547613,20.613869,6.628717,2.956332,0.580153,0.803053,-5.888741,20.613869,6.628717,2.956332,1.571885,0.171369,-7.440786,20.613869,6.628717,2.956332,2.409158,-0.800123,-8.612542,20.613869,6.628717,2.956332,2.702097,-1.768420,-8.955547,20.613869,6.628717,2.956332,2.321809,-2.459756,-8.618934,20.613869,6.628717,2.956332,1.608102,-2.715545,-8.189645,20.613869,6.628717,2.956332,0.669632,-3.055355,-7.926532,20.613869,6.628717,2.956332,-1.182941,-2.019815,-5.822697,20.613869,6.628717,2.956332,-2.189586,0.569767,1.315696,20.613869,6.628717,2.956332,-0.318904,1.570020,10.909451,20.613869,6.628717,2.956332,1.422752,1.881068,18.272474,20.613869,6.628717,2.956332,0.462977,3.623923,22.568693,20.613869,6.628717,2.956332,-5.177565,7.658093,23.344183,20.613869,6.628717,2.956332,-13.215014,6.878343,16.445601,20.613869,6.628717,2.956332,-11.538338,-3.551753,5.842004,20.613869,6.628717,2.956332,-1.472685,-1.996380,-0.191742,20.613869,6.628717,2.956332,4.871044,0.220370,-3.622858,0
-31.554750,-61.575104,6.834500,2.438984,2.611951,14.594225,-31.554750,-61.575104,6.834500,2.709553,4.399412,22.532475,-31.554750,-61.575104,6.834500,-1.299052,6.900712,25.276648,-31.554750,-61.575104,6.834500,-4.902735,4.299281,16.941999,-31.554750,-61.575104,6.834500,-3.129122,-1.847247,3.365204,-31.554750,-61.575104,6.834500,1.534601,-2.835917,-2.468145,-31.554750,-61.575104,6.834500,2.964144,-0.718100,-2.049508,-31.554750,-61.575104,6.834500,1.213966,0.999055,-1.377346,-31.554750,-61.575104,6.834500,0.028362,0.642202,-1.646850,-31.554750,-61.575104,6.834500,0.143407,-0.355921,-1.789591,-31.554750,-61.575104,6.834500,0.139146,-0.650991,-0.974688,-31.554750,-61.575104,6.834500,-0.136749,-0.404922,0.251528,-31.554750,-61.575104,6.834500,-0.316774,0.016911,0.880016,-31.554750,-61.575104,6.834500,-0.228359,-0.134353,0.627555,-31.554750,-61.575104,6.834500,0.172168,-0.595598,0.090545,-31.554750,-61.575104,6.834500,0.390541,-0.524228,-0.176829,-31.554750,-61.575104,6.834500,0.115711,0.019041,-0.117176,-31.554750,-61.575104,6.834500,-0.296534,0.592136,0.039414,-31.554750,-61.575104,6.834500,-0.416906,0.743400,-0.061784,-31.554750,-61.575104,6.834500,-0.046204,0.359916,-0.411180,0
23.512474,6.870691,2.041078,-0.676822,1.372952,-1.758700,23.512474,6.870691,2.041078,-0.772827,1.323951,-2.767475,23.512474,6.870691,2.041078,-0.311448,0.991599,-3.796490,23.512474,6.870691,2.041078,0.325562,0.859510,-4.535762,23.512474,6.870691,2.041078,0.824091,0.872293,-5.002468,23.512474,6.870691,2.041078,1.110639,0.754052,-5.384886,23.512474,6.870691,2.041078,1.284272,0.401460,-5.859980,23.512474,6.870691,2.041078,1.478144,-0.183353,-6.453315,23.512474,6.870691,2.041078,1.730604,-0.959908,-6.902843,23.512474,6.870691,2.041078,1.780670,-1.570287,-7.170217,23.512474,6.870691,2.041078,1.484535,-1.797181,-7.032802,23.512474,6.870691,2.041078,1.109573,-1.888791,-6.561969,23.512474,6.870691,2.041078,0.863505,-2.131665,-6.323356,23.512474,6.870691,2.041078,0.485347,-2.647370,-6.129484,23.512474,6.870691,2.041078,0.199864,-2.011293,-3.705946,23.512474,6.870691,2.041078,1.189466,0.232088,2.948698,23.512474,6.870691,2.041078,3.039776,1.921547,11.693462,23.512474,6.870691,2.041078,3.679981,3.303288,18.816942,23.512474,6.870691,2.041078,0.798525,6.745056,22.609171,23.512474,6.870691,2.041078,-6.238670,10.199739,21.690941,0
-6.136394,-32.209187,3.969394,-0.896394,-2.383060,-10.737815,-6.136394,-32.209187,3.969394,-0.542603,-2.440582,-9.643821,-6.136394,-32.209187,3.969394,0.565239,-1.288000,-5.019511,-6.136394,-32.209187,3.969394,2.480528,0.680551,2.939111,-6.136394,-32.209187,3.969394,4.203143,2.300903,11.579482,-6.136394,-32.209187,3.969394,4.026315,3.980776,18.688980,-6.136394,-32.209187,3.969394,0.688806,6.722686,24.497963,-6.136394,-32.209187,3.969394,-4.607666,7.289523,24.047369,-6.136394,-32.209187,3.969394,-6.949181,0.526092,9.127183,-6.136394,-32.209187,3.969394,-2.056432,-4.204741,-3.623923,-6.136394,-32.209187,3.969394,3.544696,-2.682523,-3.046566,-6.136394,-32.209187,3.969394,2.244046,0.707182,-0.396267,-6.136394,-32.209187,3.969394,0.905049,1.926873,-0.535812,-6.136394,-32.209187,3.969394,2.392114,-0.394269,-1.997312,-6.136394,-32.209187,3.969394,2.383592,-1.742854,-3.426855,-6.136394,-32.209187,3.969394,0.573761,-1.248586,-3.437507,-6.136394,-32.209187,3.969394,-1.113701,-0.121570,-2.272142,-6.136394,-32.209187,3.969394,-1.803972,0.855249,-1.226083,-6.136394,-32.209187,3.969394,-1.473750,0.836075,-0.727554,-6.136394,-32.209187,3.969394,-0.669366,0.204392,-0.686010,0
20.956640,7.500901,2.132304,-0.047270,0.434482,-1.481739,20.956640,7.500901,2.132304,-0.116510,0.826488,-2.047378,20.956640,7.500901,2.132304,-0.294404,1.272820,-2.474536,20.956640,7.500901,2.132304,-0.315708,1.483736,-3.185047,20.956640,7.500901,2.132304,-0.018508,1.428344,-4.045755,20.956640,7.500901,2.132304,0.545000,1.082144,-4.664789,20.956640,7.500901,2.132304,1.089334,0.703986,-5.102599,20.956640,7.500901,2.132304,1.419556,0.020106,-5.430691,20.956640,7.500901,2.132304,1.382273,-0.774558,-5.611781,20.956640,7.500901,2.132304,0.993463,-0.843798,-5.637346,20.956640,7.500901,2.132304,0.660045,-0.989735,-5.495670,20.956640,7.500901,2.132304,0.580153,-1.569221,-5.206992,20.956640,7.500901,2.132304,0.614240,-1.961227,-4.836291,20.956640,7.500901,2.132304,0.603588,-2.099707,-4.541089,20.956640,7.500901,2.132304,0.592935,-2.254166,-4.412195,20.956640,7.500901,2.132304,0.629153,-2.587717,-4.320585,20.956640,7.500901,2.132304,0.607849,-2.021945,-2.821802,20.956640,7.500901,2.132304,1.304511,0.074433,2.885849,20.956640,7.500901,2.132304,2.597704,2.228467,11.797855,20.956640,7.500901,2.132304,2.633922,4.777570,19.695759,0
-17.711374,-30.561131,6.087042,-0.450993,-2.654827,-9.611864,-17.711374,-30.561131,6.087042,0.133820,-3.778648,-7.229870,-17.711374,-30.561131,6.087042,1.659234,-1.900509,1.734333,-17.711374,-30.561131,6.087042,3.657611,2.157097,13.848429,-17.711374,-30.561131,6.087042,3.962400,5.845999,22.382277,-17.711374,-30.561131,6.087042,0.638740,9.271921,24.561876,-17.711374,-30.561131,6.087042,-2.125673,4.447348,14.548420,-17.711374,-30.561131,6.087042,-0.822892,-5.049471,0.562576,-17.711374,-30.561131,6.087042,1.311968,-3.120334,-0.704119,-17.711374,-30.561131,6.087042,0.180690,2.931521,1.525547,-17.711374,-30.561131,6.087042,-1.987192,2.827128,0.000000,-17.711374,-30.561131,6.087042,-0.827153,0.128760,-1.831136,-17.711374,-30.561131,6.087042,0.722894,-0.957778,-1.703308,-17.711374,-30.561131,6.087042,0.297866,-0.331421,-0.817034,-17.711374,-30.561131,6.087042,-0.367905,-0.029960,-0.205590,-17.711374,-30.561131,6.087042,-0.101597,-0.352725,-0.154459,-17.711374,-30.561131,6.087042,0.515173,-0.488010,-0.256721,-17.711374,-30.561131,6.087042,0.755916,-0.346334,-0.300396,-17.711374,-30.561131,6.087042,0.714372,-0.188679,-0.287613,-17.711374,-30.561131,6.087042,0.513043,-0.185484,-0.205590,0
