time gx gy gz
2121352852047 -0.142075 0.050998 0.069240
2121372873037 -0.079227 -0.012916 0.010652
2121392900172 -0.056857 0.021172 -0.037283
2121412921162 -0.095205 0.106390 -0.049001
2121432945016 -0.119706 0.143673 -0.018109
2121452966058 -0.100531 0.105325 0.017044
2121472963766 -0.047270 0.042476 0.014913
2121492984808 0.005992 0.012650 0.003196
2121513023454 0.036884 0.008389 -0.011718
2121533044443 0.039014 0.007323 -0.018109
2121553069495 0.023036 -0.000133 -0.017044
2121573090537 0.003861 -0.007590 -0.012783
2121593099027 0.004927 -0.019307 0.006391
2121613120068 0.011318 -0.011851 0.028761
2121633133193 -0.004660 0.012650 0.025566
2121653154235 -0.019574 0.017976 0.013848
2121673175902 -0.005726 0.016911 0.010652
2121693196943 0.004927 0.020106 0.009587
2121713214391 0.007057 0.023302 0.014913
2121733235433 0.016644 0.021172 0.017044
2121753265068 0.037949 0.022237 0.010652
2121773286110 0.059254 0.025432 -0.001065
2121793301162 0.063515 0.025432 -0.012783
2121813322204 0.052862 0.031824 -0.024500
2121833346527 0.035818 0.028628 -0.035153
2121853367568 0.031558 0.017976 -0.038348
2121873385850 0.032623 0.017976 -0.040479
2121893406891 0.030492 0.021172 -0.044740
2121913433297 0.031558 0.013715 -0.040479
2121933454339 0.032623 0.004128 -0.041544
2121953482308 0.020905 -0.000133 -0.044740
2121973503350 0.008122 -0.004394 -0.041544
2121993533297 0.016644 -0.011851 -0.029827
2122013554339 0.021970 -0.010785 -0.038348
2122033561631 -0.004660 0.005193 -0.049001
2122053582672 -0.027030 0.014780 -0.044740
2122073606370 -0.013182 0.001997 -0.054327
2122093627412 0.007057 -0.016112 -0.083088
2122113646683 0.009188 -0.011851 -0.105458
2122133667725 -0.013182 0.024367 -0.123567
2122153689860 -0.031291 0.052063 -0.159785
2122173710902 -0.041944 0.077629 -0.298265
2122193740277 -0.050465 0.075498 -0.581617
2122213761318 -0.007856 -0.077895 -1.004515
2122233785485 0.085884 -0.556185 -1.713960
2122253806527 0.215843 -0.850189 -2.646039
2122273818037 0.229691 -0.349530 -3.198895
2122293839079 -0.019574 0.296002 -3.381050
2122313854547 -0.319969 0.239544 -4.085169
2122333875589 -0.370035 -0.282420 -5.294341
2122353880693 -0.136749 -0.478423 -6.078353
2122373901735 0.208386 -0.675491 -6.191267
2122393941422 0.523695 -1.188933 -6.031483
2122413962464 0.694132 -1.649114 -5.831219
2122433967985 0.564174 -1.919683 -5.665042
2122453988975 0.330888 -1.948444 -5.402995
2122474040381 0.399063 -1.725811 -5.328429
2122494061422 0.739937 -1.977206 -5.610715
2122514066110 0.361780 -1.978271 -3.616466
2122534087152 -0.346600 0.500526 4.060802
2122554119443 0.406520 1.948178 14.943622
2122574140485 1.318359 2.530994 22.784935
2122594162047 -2.700898 6.705642 22.992655
2122614183089 -9.321455 4.514458 14.342830
2122634191266 -5.425898 -5.072906 4.020323
2122654212256 2.416614 -3.945889 -1.491326
2122674238558 3.180386 -0.229158 -3.165873
2122694259600 0.192408 0.978816 -4.394086
2122714279287 -0.223033 1.421953 -5.689543
2122734300329 1.654973 0.560179 -7.759291
2122754321683 2.891708 -0.816102 -9.656604
2122774342725 2.693575 -1.847247 -10.465116
2122794378454 1.677343 -2.417147 -10.307461
2122814399600 0.442737 -2.451234 -9.723713
2122834380277 -0.952851 -1.962292 -9.071657
2122854401370 -1.040200 -1.213434 -6.080483
2122874446787 0.819830 -0.084287 3.686905
2122894467933 2.687183 1.236602 16.952650
2122914486370 2.954557 2.805824 25.187168
2122934507516 -0.053661 4.935225 20.550076
2122954517204 -1.205311 -1.359370 3.862668
2122974538350 2.770272 -5.035623 -4.956662
2122994580641 3.367867 -0.304790 -2.583190
2123014601735 0.063515 1.469888 -0.980014
2123034603454 -1.033809 0.591071 -1.533936
2123054624600 -0.815436 -0.197201 -1.543523
2123074679027 -1.279877 -0.123700 -0.588009
2123094700172 -1.615426 0.444069 0.374030
2123114712100 -1.130745 0.349263 0.740470
2123134733193 -0.195337 0.105325 0.582816
2123154764547 0.579087 -0.102396 0.202527
2123174785693 0.759112 -0.068308 -0.027696
2123194804495 0.522630 0.296002 -0.019174
2123214825641 0.331953 0.517570 0.082023
2123234838350 0.306388 0.486678 0.041544
2123254859495 0.272300 0.339676 -0.116110
2123274878714 0.124233 0.369503 -0.153394
2123294899860 -0.114379 0.546331 -0.041544
2123314898037 -0.275230 0.457917 0.095871
2123334919183 -0.270969 0.300263 0.135418
2123354953037 -0.132488 0.260849 0.121570
2123374974131 -0.020639 0.271501 0.122635
