time gx gy gz
2251852514138 -0.118640 0.294936 -0.204525
2251872535388 0.049666 -0.049134 -0.089480
2251892549815 0.198799 -0.329290 0.014913
2251912571065 0.212647 -0.450727 0.117309
2251932577003 0.091211 -0.429422 0.165244
2251952598253 -0.007856 -0.387878 0.075632
2251972657003 -0.021704 -0.427292 -0.059653
2251992678253 0.014514 -0.469901 -0.093741
2252012660180 0.036884 -0.310116 0.006391
2252032681378 0.074167 -0.069373 0.061784
2252052724190 0.085884 -0.139679 -0.008522
2252072745388 0.073102 -0.424096 -0.171503
2252092757836 0.097602 -0.541272 -0.246069
2252112779034 0.116776 -0.462444 -0.223699
2252132805596 0.081623 -0.280289 -0.156589
2252152826846 -0.017443 -0.150331 -0.149133
2252172857419 -0.150597 0.088281 -0.176829
2252192878617 -0.236881 0.262979 -0.135285
2252212883982 -0.223033 0.294936 -0.092675
2252232905180 -0.213446 0.318372 -0.104393
2252252932992 -0.259251 0.374829 -0.111849
2252272954242 -0.265642 0.369503 -0.012783
2252292977784 -0.223033 0.337546 0.058588
2252312998982 -0.167641 0.481352 0.077762
2252333018409 -0.122901 0.563375 0.049001
2252353039659 -0.079227 0.534614 0.028761
2252373057159 -0.081357 0.444069 0.075632
2252393078357 -0.122901 0.394003 0.148201
2252413107211 -0.121836 0.368437 0.169505
2252433128461 -0.036617 0.175630 0.165244
2252453156273 0.068841 0.218240 0.062849
2252473177523 0.058188 0.210783 -0.033022
2252493195700 -0.057922 0.186283 -0.034087
2252513216898 -0.127162 0.073368 -0.022370
2252533240596 -0.081357 -0.140744 -0.018109
2252553261794 -0.008921 -0.326094 -0.012783
2252573270128 0.012383 -0.285616 0.006391
2252593291378 0.016644 -0.109852 0.022370
2252613316690 0.031558 -0.042742 -0.002130
2252633337940 0.058188 -0.064047 -0.003196
2252653384919 0.118907 -0.119439 0.015978
2252673406117 0.139146 -0.121570 0.034087
2252693404711 0.128494 -0.102396 0.061784
2252713425961 0.165777 -0.266441 0.078827
2252733457628 0.254191 -0.548728 0.090545
2252753478825 0.367106 -0.784145 0.058588
2252773506013 0.503456 -1.065366 0.011718
2252793527211 0.729285 -1.720484 -0.090545
2252813551794 1.102117 -2.893439 -0.210916
2252833572992 1.724213 -4.408201 -0.165111
2252853591013 2.737249 -6.482209 -0.109719
2252873612263 3.664002 -8.392305 -0.085219
2252893618825 3.334845 -8.451959 0.182288
2252913640075 1.957499 -7.230136 0.311181
2252933649815 1.032877 -6.825214 -0.099067
2252953671013 1.171357 -7.892711 -0.648727
2252973694346 1.582537 -8.667135 -0.919296
2252993715596 0.845396 -6.670755 -0.760576
2253013745128 -3.321929 0.213979 0.802254
2253033766430 -10.967373 10.613050 4.673310
2253053814503 -18.432659 19.435575 9.551279
2253073835805 -19.333847 23.111828 13.512880
2253093834555 -9.488696 24.414608 14.715662
2253113855857 6.828943 17.193260 9.488430
2253133899294 13.617939 0.283219 3.916995
2253153920596 8.326660 -6.733604 4.530569
2253173920700 5.315247 -2.415016 3.061613
2253193942003 5.453727 -2.213687 -0.763772
2253213979503 4.505670 -5.176234 -2.273207
2253234000805 5.348269 -10.347008 -3.236178
2253254034190 7.692847 -14.969187 -3.365071
2253274055492 10.009862 -16.517103 -2.755758
2253294040023 10.764047 -16.783413 -2.603430
2253314061378 9.782967 -17.594055 -2.153901
2253334137419 7.770608 -16.800455 -0.911839
2253354158773 3.508478 -9.826109 1.936727
2253374173878 -4.125115 3.264939 8.120538
2253394195180 -11.786537 13.809947 15.180103
2253414184450 -16.441738 19.887236 18.861681
2253434205805 -15.957058 25.920980 18.613350
2253454262263 -8.654619 28.916416 14.310873
2253474283565 3.839766 20.889751 5.810047
2253494297888 11.094269 2.336056 0.725557
2253514319242 8.123200 -5.477695 3.652817
2253534331794 7.341320 -0.521032 3.696492
2253554353148 7.302971 1.715957 1.309305
2253574382732 4.126446 1.309038 0.568968
2253594404086 2.605160 -1.519156 0.043675
2253614426586 2.115153 -3.966129 -0.112915
2253634447940 0.748459 -4.256938 0.288811
2253654468148 -0.944329 -4.482767 0.753253
2253674489503 -2.002105 -6.212705 1.109041
2253694512211 -2.226870 -9.016532 1.359370
2253714533565 -1.299052 -11.347261 1.324218
2253734532211 0.138081 -11.593330 1.430741
2253754553565 0.814504 -10.356595 1.919683
2253774595596 0.680284 -8.017344 1.996380
2253794616950 0.114646 -3.998086 1.258173
2253814640648 -0.461645 -0.077895 0.442205
2253834662003 -0.746196 1.196123 0.139679
2253854682107 -0.571364 0.752987 0.105458
2253874703461 0.035818 -0.235550 -0.050066
2253894683930 0.629153 -0.673360 -0.243938
2253914705232 0.731416 -0.351660 -0.313179
2253934726065 0.351127 0.142608 -0.214112
2253954747367 -0.163380 0.516505 -0.147002
2253974771846 -0.502124 0.724225 -0.207720
2253994793148 -0.496798 0.566571 -0.248199
2254014809867 -0.253925 0.115977 -0.213047
2254034831169 -0.019574 -0.352725 -0.148067
2254054880232 0.131689 -0.523163 -0.122502
2254074901534 0.216908 -0.482684 -0.136350
2254094920961 0.325562 -0.556185 -0.188546
2254114942263 0.487477 -0.793732 -0.295070
2254134964711 0.579087 -1.014235 -0.370701
2254154986013 0.562044 -1.179346 -0.434615
2254175006794 0.551391 -1.342327 -0.535812
2254195028096 0.547130 -1.439263 -0.663640
2254215052367 0.440607 -1.412632 -0.804251
2254235073669 0.358584 -1.633135 -0.896926
2254255092523 0.538608 -2.445908 -0.899057
2254275113825 0.861374 -3.412208 -0.883078
2254295136690 0.991332 -3.739234 -0.980014
2254315157992 0.990267 -3.837236 -1.178148
2254335161117 1.153248 -4.258003 -1.350716
2254355182419 1.435535 -4.933361 -1.433804
2254375221325 1.575080 -5.388215 -1.362433
2254395242628 1.374816 -5.212451 -1.019428
2254415264242 0.343671 -3.603950 -0.337679
2254435285596 -2.829792 1.093861 1.416893
2254455304294 -8.851687 9.215464 5.141081
2254475325596 -15.633226 18.532259 10.647404
2254495349294 -17.681669 23.086264 15.789416
2254515370596 -10.354864 22.821020 17.319092
2254535395857 3.864266 19.771124 10.583489
2254555417159 11.819693 5.620170 0.804384
2254575433617 7.684325 -10.690013 0.380421
2254595454919 4.484365 -9.648215 1.806768
2254615475961 5.145875 -2.438452 -1.623415
2254635497263 2.853360 0.882945 -3.612205
2254655519034 1.418491 -2.859352 -4.600874
2254675540336 3.591566 -9.168860 -5.299667
2254695565232 6.315500 -11.785072 -4.884227
2254715586534 7.910154 -12.154841 -4.040429
2254735570544 8.369269 -13.144443 -3.257483
2254755591846 7.971938 -14.400352 -2.444710
2254775655596 6.118432 -12.841917 -0.793599
2254795676898 0.310649 -5.740807 3.422727
2254815691846 -7.908956 4.313128 10.341681
2254835713148 -14.558273 11.810505 17.347853
2254855733669 -17.632669 16.763971 21.922096
2254875754971 -11.737536 21.183756 21.351131
2254895744971 2.992905 23.329136 14.305547
2254915766273 11.548059 12.497581 4.463459
2254935818513 10.737415 -5.011122 1.453111
2254955839815 7.623606 -7.071283 4.235500
2254975861898 7.179404 1.398518 3.853081
2254995883253 6.574352 5.869434 2.299971
2255015904919 4.628171 5.416710 1.281608
2255035926325 2.625400 3.023131 0.596664
2255055932836 1.514362 0.363111 0.211049
2255075954294 1.064834 -1.666158 -0.351527
2255095974294 0.377758 -2.176404 -0.514508
2255115995753 -0.780283 -2.021945 -0.091610
2255136018096 -1.493989 -2.969071 0.235550
2255156039555 -1.566425 -5.184755 0.187614
2255176059971 -1.433271 -8.328391 0.004261
2255196081378 -1.057244 -11.946055 -0.181090
2255216117263 -0.374296 -14.156414 0.257920
2255236138721 0.190277 -13.896498 1.064301
2255256125336 0.762307 -11.453785 1.296522
2255276146794 1.315163 -8.503090 1.191064
2255296193513 1.616624 -5.381824 0.858711
2255316214919 1.107443 -1.725811 0.526358
2255336222263 -0.044074 0.939402 0.501858
2255356243721 -0.931546 1.796915 0.408117
2255376289398 -1.019961 1.165232 0.150331
2255396310857 -0.510646 0.199065 -0.102262
2255416330544 0.064580 -0.407052 -0.219438
2255436352003 0.288279 -0.546598 -0.202394
2255456342523 0.131689 -0.334616 -0.111849
2255476363982 -0.179359 0.052063 -0.095871
2255496381950 -0.424362 0.451526 -0.105458
2255516403409 -0.420101 0.560179 -0.038348
2255536460596 -0.120771 0.157521 0.056457
2255556482055 0.282953 -0.429422 0.099067
2255576502523 0.542869 -0.791601 0.033022
2255596523982 0.595066 -0.843798 -0.056457
2255616545232 0.551391 -0.731948 -0.145937
2255636566690 0.486412 -0.655251 -0.252460
2255656583721 0.374563 -0.601990 -0.351527
2255676605180 0.228626 -0.558315 -0.418637
2255696630440 0.150864 -0.679752 -0.445267
2255716651898 0.201995 -1.035540 -0.494268
2255736671378 0.317040 -1.537264 -0.576291
2255756692836 0.534348 -2.268014 -0.643401
2255776714503 0.825156 -3.239640 -0.706249
2255796735909 1.197988 -4.485962 -0.845795
2255816756742 1.767887 -6.167965 -1.001319
2255836778200 2.187589 -7.352638 -1.160039
2255856802263 2.228068 -7.353703 -1.267627
2255876823721 1.428078 -6.245728 -1.147256
2255896833878 -0.433949 -3.722190 -0.332353
2255916855284 -3.733109 1.738327 2.304232
2255936888305 -8.144372 10.787748 7.291786
2255956909763 -12.112498 20.463526 13.805820
2255976929711 -11.977214 25.031378 18.855289
2255996951117 -2.238587 23.302505 16.964369
2256016969815 10.042884 17.285936 6.145596
2256036991221 8.442771 3.318201 -1.432738
2256057015440 3.270931 -7.711621 0.540206
2256077036846 5.324833 -6.898715 0.484814
2256097029034 6.351718 -0.984408 -2.174141
2256117050388 3.015275 2.130466 -3.221265
2256137100284 1.386534 -2.054968 -4.034038
2256157121690 2.725532 -7.873537 -4.702072
2256177143044 4.735760 -11.303587 -4.879966
2256197164450 6.240934 -13.024072 -4.582766
2256217173982 6.899248 -13.933781 -3.914731
2256237195388 6.702180 -13.932715 -2.728062
2256257219138 5.355725 -12.181472 -0.907579
2256277240544 1.888259 -7.714817 1.984662
2256297256013 -4.507534 -0.472031 7.088327
2256317277419 -11.258182 7.277805 14.123392
2256337305232 -15.647075 14.831506 21.126368
2256357326638 -12.047519 20.747011 23.312225
2256377357211 3.315671 24.139778 17.228546
2256397378617 12.002913 16.740536 7.433462
2256417399398 10.913179 -1.548982 3.068004
2256437420805 9.747814 -10.669773 4.382502
2256457441325 10.053536 -4.211133 2.770804
2256477462732 7.111229 4.906463 0.652056
