ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,ax10,ay10,az10,gx10,gy10,gz10,ax11,ay11,az11,gx11,gy11,gz11,ax12,ay12,az12,gx12,gy12,gz12,ax13,ay13,az13,gx13,gy13,gz13,ax14,ay14,az14,gx14,gy14,gz14,ax15,ay15,az15,gx15,gy15,gz15,ax16,ay16,az16,gx16,gy16,gz16,ax17,ay17,az17,gx17,gy17,gz17,ax18,ay18,az18,gx18,gy18,gz18,ax19,ay19,az19,gx19,gy19,gz19,ax20,ay20,az20,gx20,gy20,gz20,ax21,ay21,az21,gx21,gy21,gz21,ax22,ay22,az22,gx22,gy22,gz22,ax23,ay23,az23,gx23,gy23,gz23,ax24,ay24,az24,gx24,gy24,gz24,ax25,ay25,az25,gx25,gy25,gz25,ax26,ay26,az26,gx26,gy26,gz26,ax27,ay27,az27,gx27,gy27,gz27,ax28,ay28,az28,gx28,gy28,gz28,ax29,ay29,az29,gx29,gy29,gz29,target
-11.912351,-13.375807,5.847239,1.232377,12.995550,5.771865,-17.782932,-16.478691,26.418221,3.795401,8.183755,3.444264,-22.873007,-17.273567,49.637188,5.537107,2.634796,1.524659,-19.554642,-16.095619,65.386246,6.276400,-2.476338,0.641555,-10.245986,-15.449185,66.765305,6.248703,-5.432445,0.580835,3.429694,-14.898519,56.604317,5.874796,-6.194108,0.647947,13.724761,-10.191518,41.645344,5.370926,-5.403683,0.489222,12.949039,-4.402339,27.323229,4.914993,-3.808983,-0.078563,4.957195,-1.682525,15.256452,4.560260,-2.521080,-1.045823,-5.103241,-0.806247,6.780978,4.346142,-2.336789,-2.154762,-7.703344,-0.686537,3.888782,4.403666,-3.397792,-3.178480,-5.055357,0.050877,3.769072,4.831903,-5.662542,-3.932687,-0.180762,1.669357,4.774637,5.672396,-8.691087,-4.228830,5.201403,3.249530,5.349245,6.898514,-12.072233,-4.140413,8.251616,4.326921,4.477756,8.387753,-15.146585,-3.796333,8.175002,4.561553,3.620631,9.801357,-17.155672,-3.392598,6.139930,3.646968,4.257489,10.677004,-18.122931,-3.098586,1.887828,2.042853,6.096236,10.838924,-18.366877,-3.027213,-2.220622,0.218471,9.041104,10.361687,-18.142105,-3.065562,-6.582858,-1.701679,12.507908,9.334772,-17.573256,-2.842922,-10.279505,-3.042432,14.868591,7.692136,-16.179890,-1.947036,-12.463017,-3.947440,12.474389,4.780770,-12.867986,-0.072172,-12.563574,-4.584298,7.302914,0.243812,-6.687325,2.597379,-11.107899,-4.545990,1.681328,-4.631899,1.777259,5.530050,-10.629059,-4.038420,-3.092710,-8.705467,8.893220,8.282691,-12.175713,-2.625841,-6.506842,-12.112181,13.709277,10.576203,-15.752650,0.007781,-11.764508,-14.876540,16.669645,12.125097,-19.861101,3.694852,-22.457014,-16.768448,18.758627,12.933632,-22.078131,2.727594,-31.171907,-16.864323,20.424700,13.019918,-22.346281,-2.898780,-26.522367,-14.682662,22.099293,12.177295,0
13.911509,-9.367912,23.296181,7.211702,-10.663955,0.771517,8.596381,-3.650559,13.432070,7.478018,-9.330245,0.587227,-5.471948,-0.897227,6.809708,7.390666,-8.415183,0.230363,-15.355212,-2.223615,5.464167,7.029541,-8.403465,-0.048736,-16.255432,-2.803012,9.127295,6.419146,-8.943554,-0.131826,-12.635400,-1.567604,12.397775,5.442299,-9.202414,0.011984,-7.578846,-0.590769,11.598111,4.110719,-8.263916,0.266582,-3.819949,-0.016161,7.820061,2.563956,-6.287852,0.393349,-2.488773,0.539294,3.443461,1.018259,-3.818571,0.337955,-3.398569,1.209670,-0.090381,-0.317582,-1.421728,0.158991,-4.610035,1.971027,-2.690484,-1.282711,0.521313,-0.052997,-4.701015,3.283049,-4.265869,-1.852627,1.853958,-0.235157,-1.933318,3.819350,-5.462970,-2.110420,2.528270,-0.374706,1.868674,4.259883,-5.506065,-2.131726,2.531466,-0.467384,4.574122,5.227141,-4.079121,-1.951696,1.973268,-0.489755,5.517438,5.648520,-1.637035,-1.608681,1.035836,-0.421578,5.086482,5.409100,1.384447,-1.183641,0.014248,-0.244744,3.956418,4.915895,3.692458,-0.780971,-0.811331,0.009854,2.859874,4.441843,5.109825,-0.449674,-1.329050,0.277235,1.648408,4.097078,6.393117,-0.194011,-1.554885,0.487092,0.642843,3.819350,7.762600,-0.040613,-1.513340,0.587227,-0.142455,3.589507,8.969278,-0.053396,-1.162868,0.547812,-0.932542,3.321356,9.802461,-0.215316,-0.543950,0.373109,-1.291672,3.153762,10.185533,-0.465653,0.084555,0.146207,-0.827197,3.163339,10.477625,-0.721317,0.561793,-0.060454,0.384269,3.268684,10.812814,-0.881106,0.845154,-0.209591,1.974019,3.441067,10.592546,-0.873649,0.910135,-0.264984,3.798401,3.685275,9.893440,-0.689359,0.769520,-0.235157,4.942830,3.800197,9.242217,-0.392150,0.503204,-0.147805,5.043386,3.895965,8.806473,-0.075767,0.232627,-0.055127,0
-12.084733,-1.768716,-17.912819,-12.681031,23.828217,10.555964,-17.476475,-8.367136,-13.277644,-7.383475,20.114708,10.874477,-22.983139,-16.962320,-3.633800,-2.277667,15.391329,9.748494,-30.778660,-24.930223,11.363480,2.053695,9.764606,6.646446,-36.955700,-29.493572,34.750042,5.356012,3.033205,2.801910,-37.180756,-29.598917,62.570667,7.231942,-4.120040,-0.153132,-28.662186,-25.782560,77.170509,7.573891,-9.438902,-1.281246,-13.320141,-21.693262,73.627090,7.160569,-12.099930,-1.082042,8.821436,-18.834587,59.261879,6.691853,-12.132954,-0.628239,22.473175,-11.412561,40.793007,6.383992,-10.287917,-0.457797,19.815611,-4.411915,22.439056,6.260421,-7.817570,-0.708134,4.674679,-2.434304,7.192780,6.255095,-6.259089,-1.204547,-10.456676,-2.276287,0.354940,6.342446,-6.419944,-1.791507,-15.005659,-2.118270,1.743577,6.632198,-8.095604,-2.332661,-11.356895,-1.304241,6.000468,7.213832,-10.826941,-2.633065,-5.467160,0.678158,8.998009,8.031955,-13.861876,-2.689524,-0.367510,1.851316,9.318831,8.926776,-16.402531,-2.660762,1.806425,2.397194,7.413047,9.676722,-17.807613,-2.715091,1.926135,2.492963,5.334880,9.937712,-18.141041,-2.797116,-0.128090,1.865682,5.090672,9.612806,-17.914139,-2.865293,-3.719392,0.635062,6.105813,8.912928,-17.509338,-2.884468,-6.783970,-0.322619,7.714716,7.961648,-16.800940,-2.739592,-7.717709,-0.830189,8.198345,6.543781,-15.107169,-2.114282,-7.688979,-1.304241,6.263830,4.122437,-11.396856,-0.635696,-7.756016,-1.696890,1.226430,0.296010,-4.898748,1.608814,-7.143101,-1.438317,-3.221997,-4.480632,3.989812,4.461590,-6.300342,-0.375291,-5.582680,-8.890823,11.531878,7.484808,-6.415264,0.874482,-7.397485,-12.721512,16.221169,10.121336,-9.163807,2.454655,-11.414955,-15.972696,18.948244,12.096335,-13.588292,4.566341,-18.947113,-18.479261,20.944548,13.405544,0
5.105635,-21.563976,68.398155,6.340316,-8.824244,1.928393,9.161413,-19.284697,47.578175,6.439385,-9.221588,2.002962,7.993042,-16.138716,29.722218,6.336055,-7.933684,1.776061,0.221464,-10.383054,16.558897,5.759748,-5.578386,1.372326,-9.408015,-5.197213,8.820838,4.681701,-2.746915,0.927046,-14.780604,-2.941875,5.143344,3.326685,-0.245676,0.523311,-13.032837,-2.075174,5.464167,1.979127,1.441701,0.168578,-8.431181,-0.260369,7.255030,0.933038,2.177798,-0.176567,-3.628413,1.654992,6.723517,0.347143,1.988181,-0.527039,-0.027533,3.321356,3.256713,0.207593,1.011335,-0.861532,2.266112,4.561553,-0.641047,0.373774,-0.353268,-1.094825,3.151967,5.318120,-3.370437,0.715724,-1.675260,-1.156610,3.286042,5.859210,-3.959411,1.117328,-2.772482,-1.034105,2.764106,5.935824,-2.436699,1.465670,-3.585278,-0.797616,2.304419,5.605425,0.034117,1.728790,-4.122171,-0.539822,1.337162,5.145738,2.346916,1.901362,-4.430032,-0.335292,-0.166397,4.513669,4.061165,1.955691,-4.569582,-0.193612,-1.827973,3.670910,5.263054,1.877927,-4.680369,-0.064715,-3.216610,2.808997,5.646126,1.672331,-4.888095,0.086553,-4.001908,2.387618,5.468955,1.416667,-5.235371,0.246342,-4.040215,2.363676,5.196016,1.189766,-5.835115,0.398675,-3.542221,2.435502,4.597466,0.982040,-6.595713,0.520115,-3.254917,2.478597,3.654150,0.778575,-7.337136,0.627707,-3.393781,2.397194,2.514510,0.587892,-7.983751,0.722515,-3.566164,2.282273,1.537676,0.448343,-8.524905,0.811997,-3.384204,2.229600,1.298256,0.401471,-8.964859,0.874848,-2.814384,2.334945,1.638232,0.428103,-9.241828,0.912132,-1.904588,2.425925,1.848922,0.462191,-9.185369,0.924915,-0.846350,2.411560,2.155380,0.433429,-8.712392,0.898284,0.192733,2.401983,2.662951,0.335425,-7.771764,0.728907,0
-14.780604,4.437054,-15.690999,-18.717880,23.914503,13.311801,-21.809980,0.759560,-22.030846,-14.806232,24.986158,13.073182,-26.646267,-6.662465,-19.909582,-9.163531,24.627165,12.268908,-28.054058,-17.651850,-10.433332,-4.037482,22.060944,10.878738,-27.829004,-30.254929,3.271078,0.255530,17.380177,8.321040,-30.079554,-39.601891,26.389490,3.605784,10.609360,4.861064,-28.599936,-39.534855,65.161194,6.064413,2.522944,1.544899,-16.940174,-32.687439,94.518890,7.260704,-5.135237,-0.028496,-6.276400,-23.383570,94.121452,7.538738,-9.591234,0.118511,9.257181,-20.007746,75.556816,7.431146,-10.728936,0.601075,21.386208,-16.852188,51.921257,7.238333,-9.350485,0.749147,23.900118,-11.024700,31.522657,6.998649,-6.741654,0.346477,12.101493,-5.508460,15.653890,6.592783,-4.179695,-0.467384,-8.038532,-3.540426,6.991668,5.988779,-2.779939,-1.240766,-16.030378,-4.239532,5.856816,5.460408,-3.030276,-1.818139,-12.491747,-3.779846,8.088212,5.361339,-4.746415,-2.211221,-5.586870,-1.194108,10.401011,5.841773,-7.345659,-2.537192,2.155979,1.276708,10.195109,6.827141,-10.116409,-2.908969,5.694609,2.641403,6.498462,7.970170,-12.553733,-3.197655,4.827908,3.340510,2.375647,8.971518,-14.263481,-3.461841,2.562993,3.479374,0.781108,9.704418,-15.319157,-3.680220,0.183156,3.278261,2.907159,10.043173,-15.764437,-3.800594,-0.764947,2.670133,7.015610,9.923862,-15.720761,-3.738809,-1.832761,1.631050,10.281301,9.284705,-15.247785,-3.410708,-3.527856,0.046088,10.865486,8.058586,-14.347636,-2.755571,-4.629189,-1.304241,9.677961,5.989844,-12.426966,-1.578454,-6.424840,-2.290653,7.312490,2.615089,-8.913727,0.319845,-8.067263,-3.032855,4.056376,-1.657683,-3.857985,2.678339,-9.767146,-3.157353,0.058059,-6.142443,1.727192,5.239233,-11.198878,-2.597110,-4.457405,-10.289515,6.450571,7.812910,0
-18.735825,-46.755768,71.596809,3.624959,7.232474,3.169426,-15.527596,-37.336975,92.637054,5.941907,-0.705870,1.088966,-8.948329,-31.490335,89.184608,7.359773,-6.884399,0.541420,2.582147,-30.642790,69.906502,8.033020,-9.892704,0.771517,12.240356,-26.515184,50.776829,8.283357,-10.201631,1.072987,18.249802,-18.973450,36.167408,8.142742,-8.431162,1.327585,12.934674,-10.569802,24.584261,7.399188,-5.449489,1.373391,-1.310825,-5.364808,16.008230,6.006888,-1.818006,1.279648,-13.018472,-4.038420,11.253346,4.148004,1.380981,1.163534,-14.727932,-4.210802,10.324396,2.251834,3.446527,0.939829,-12.712014,-3.435081,10.712257,0.848882,4.129361,0.494549,-8.526949,-2.008137,8.504803,0.152200,3.628687,-0.151001,-3.230975,0.012570,3.381211,0.080827,2.319479,-0.855140,0.566229,2.248754,-2.829348,0.356730,0.750345,-1.402686,2.759317,4.255095,-7.603386,0.719985,-0.625976,-1.692438,3.980360,6.256648,-8.407838,1.018259,-1.624128,-1.780854,4.660314,7.372345,-5.410297,1.197223,-2.182326,-1.785116,4.866215,7.535151,-1.297059,1.308011,-2.445446,-1.743570,3.903746,7.008427,1.944690,1.357013,-2.579669,-1.658349,1.614889,5.782596,3.572747,1.342099,-2.742654,-1.570998,-0.774524,4.384382,4.051588,1.312272,-3.152781,-1.499625,-2.105700,3.618237,3.634997,1.321859,-3.908053,-1.410143,-2.512715,3.005322,3.160945,1.406015,-4.970121,-1.281246,-2.876633,2.583942,2.907159,1.594566,-6.270808,-1.117195,-3.250129,2.306215,2.399589,1.908819,-7.777091,-0.905208,-3.460819,2.018911,1.892018,2.312554,-9.405878,-0.578172,-3.781641,1.880047,1.906383,2.673679,-10.998447,-0.181894,-4.294001,1.856105,2.394800,2.909102,-12.155324,0.264452,-4.815937,1.789067,3.204041,2.904841,-12.767851,0.724646,-5.036203,1.616685,4.200028,2.585262,-12.775308,1.072987,0
-11.917139,4.868011,-17.108366,-18.485653,21.799955,12.862260,-15.800534,-0.260369,-21.944654,-15.164161,22.139774,13.524854,-20.153193,-9.645640,-18.568830,-9.716403,21.269453,13.730450,-26.406847,-19.950285,-8.972870,-4.024699,18.990854,13.123249,-31.899147,-31.289223,5.828085,0.710398,15.224082,10.735993,-35.322853,-39.922714,28.376677,4.313119,9.630383,7.090661,-35.591007,-42.767025,59.204418,6.651373,1.802826,3.368630,-28.681339,-39.324165,86.029053,7.389601,-6.491317,0.997353,-16.576256,-32.002697,95.586708,6.952843,-11.762241,0.435959,3.185485,-28.674755,80.579849,6.331794,-13.908748,0.493483,20.878635,-24.058735,57.399189,6.068674,-13.692499,0.182426,25.695770,-15.396513,33.208176,6.185853,-12.239480,-0.603738,16.554708,-6.518813,10.985196,6.501171,-10.602170,-1.785116,-1.171962,-0.456694,-2.633023,6.843121,-9.657281,-3.077280,-11.481394,0.778714,-4.610634,7.187201,-9.779786,-4.083954,-8.052897,0.026935,0.919972,7.601588,-10.637323,-4.626173,-1.339556,2.042853,7.719505,8.077761,-11.885812,-4.865858,4.521450,4.882376,12.316372,8.646612,-13.146019,-5.036300,8.395268,5.437830,13.393763,9.107871,-14.198500,-5.188633,8.491036,4.733935,11.885416,9.300684,-14.807831,-5.234439,4.952406,2.708441,10.152014,9.141959,-15.099712,-5.122587,0.494403,0.232836,9.232640,8.752073,-15.200912,-4.845618,-2.115277,-0.557250,9.275736,8.206658,-15.043254,-4.372641,-3.408146,-1.371279,8.959702,7.312902,-14.264546,-3.648262,-4.667496,-2.376844,7.111378,5.792770,-12.322571,-2.608564,-6.276400,-3.286640,4.109049,3.597262,-9.100148,-1.091629,-7.942764,-3.765481,1.446696,0.644351,-4.856137,0.998418,-9.163807,-3.061585,0.172981,-2.962631,0.245410,3.499657,-10.226832,-1.500566,-1.311424,-6.714490,5.055076,6.151099,-11.227609,0.802656,-4.648941,-10.269275,8.766454,8.756734,0
-26.555288,-53.837814,70.691795,3.858252,8.386155,3.002179,-20.564995,-46.023140,95.581917,5.014063,0.237953,0.661795,-8.057686,-40.717590,100.140480,5.386905,-6.840724,0.200536,10.880449,-35.771168,81.508804,5.655352,-10.073799,0.708667,21.549013,-26.869528,58.586716,6.180526,-10.242110,1.217863,22.908918,-18.135479,37.354935,6.603436,-8.287352,1.493766,16.133327,-11.948862,17.157448,6.361621,-5.031906,1.487374,-1.502362,-5.987300,5.468955,5.286770,-1.294961,1.339303,-14.622587,-3.085527,4.927866,3.648395,1.791108,1.161404,-16.135723,-3.482965,11.023503,1.999367,3.637210,0.948351,-12.237962,-2.285864,16.463129,0.829707,4.162385,0.626641,-7.411252,-0.389656,15.318701,0.327968,3.554119,0.212254,-1.799243,1.070807,8.753800,0.359926,2.172472,-0.229831,2.112883,2.488174,0.800262,0.690158,0.558598,-0.592020,3.913323,4.365228,-4.466982,1.069391,-0.800679,-0.798681,4.258088,5.782596,-5.199607,1.316533,-1.701892,-0.863662,4.210204,6.170456,-2.460641,1.333577,-2.119475,-0.784833,3.659537,5.921459,0.891242,1.149286,-2.103496,-0.614391,2.562993,5.461772,3.318962,0.863796,-1.846768,-0.419448,0.781707,4.748301,4.597466,0.553804,-1.577256,-0.255397,-0.563834,3.872023,4.405930,0.273640,-1.420662,-0.166980,-1.780089,3.067571,3.304597,0.035021,-1.368464,-0.139283,-3.025074,2.588731,2.069189,-0.154596,-1.362073,-0.128631,-3.594894,2.358887,1.236007,-0.322908,-1.403618,-0.135022,-3.738546,2.248754,0.991798,-0.477371,-1.463273,-0.163784,-3.523068,2.287061,1.240795,-0.616921,-1.529319,-0.202134,-3.154361,2.267908,1.757943,-0.735165,-1.659281,-0.245810,-3.096900,2.081160,2.452261,-0.794820,-1.881921,-0.308660,-3.149572,1.870470,3.089119,-0.761797,-2.084321,-0.389620,-3.044227,1.664569,3.577536,-0.654205,-2.173804,-0.463123,0
-15.125369,4.192846,-19.296667,-18.840385,23.751518,16.032484,-20.071791,-1.960253,-20.670938,-15.828886,24.476963,16.517179,-24.419661,-10.574591,-14.469956,-10.797646,24.169102,16.620510,-29.145815,-21.765089,-3.930681,-5.648161,22.354958,15.880152,-34.580654,-34.952351,11.751341,-1.177249,18.984463,13.269190,-39.191883,-46.588173,35.406052,2.584196,13.110600,8.619314,-36.194344,-51.630360,67.215416,5.588240,3.605252,3.061834,-27.934349,-48.733376,94.107094,6.814358,-7.572560,-0.822117,-17.198748,-41.067142,101.998383,6.519280,-14.907965,-1.827726,3.252523,-36.422394,87.882164,6.306228,-17.059797,-1.368598,25.106796,-27.812843,64.701508,6.637525,-15.249915,-1.204547,37.719452,-14.596849,38.571186,7.401319,-11.223218,-1.449558,30.340521,-3.995324,13.398551,7.750725,-7.007970,-1.817073,6.566098,-0.040103,-2.637812,7.427950,-3.976230,-2.081259,-13.310564,-0.255581,0.876876,6.805836,-2.851311,-2.351836,-12.951434,-2.798223,11.837532,6.343512,-3.584213,-2.671415,-5.218163,-2.027290,22.218790,6.430863,-6.003427,-3.033605,-0.286107,0.472256,24.081480,7.132872,-9.259937,-3.439470,2.381034,0.457891,15.912463,8.122502,-12.335354,-3.761180,3.683479,0.572813,6.704363,8.976844,-14.517014,-4.012582,3.942053,1.688511,0.661398,9.572326,-15.739936,-4.212852,2.946065,2.631826,-0.334590,9.839707,-16.174564,-4.320443,1.715446,2.502539,3.175310,9.757682,-16.240610,-4.324704,-0.736217,1.722030,7.269395,9.447690,-16.196934,-4.205395,-3.570952,0.314239,8.725070,8.958735,-15.958315,-3.881554,-5.117606,-1.347337,7.858368,8.100132,-15.279742,-3.272223,-6.692991,-2.419939,6.560711,6.678005,-13.582777,-2.171806,-8.321048,-3.214814,3.874417,4.424972,-10.443445,-0.396012,-9.336189,-3.655347,1.451485,1.335707,-5.757350,1.918806,-10.183737,-3.329736,-0.037709,-2.482198,0.517052,4.682100,0
-28.020540,-55.034916,23.147741,-3.481415,20.162645,10.055290,-25.439590,-57.486580,54.444744,0.864861,14.131122,6.659229,-21.795614,-49.834709,84.707458,5.005541,5.713408,3.307910,-21.857864,-43.236290,95.313766,7.625024,-3.562907,0.947286,-16.930597,-36.364929,87.063347,8.147003,-9.922531,0.571248,-6.008249,-31.835102,71.955933,7.346990,-12.471707,1.241298,7.748834,-26.448147,57.882820,6.540586,-11.909248,1.810149,14.514848,-18.485033,43.699570,5.696897,-9.111866,2.098836,12.513295,-11.340734,26.614544,4.639090,-4.932837,2.013615,-4.198233,-9.133281,7.719505,3.443864,-0.461925,1.678057,-22.025459,-5.297770,-1.407192,2.215615,2.812696,1.316932,-19.243397,-2.779070,-2.786252,1.108806,4.412722,1.036768,-14.948198,-2.276287,2.931101,0.316250,4.574642,0.784300,-7.708132,-0.442329,4.310162,-0.040613,3.561576,0.505201,-1.842338,2.344522,4.032434,0.026498,1.856089,0.155795,2.256535,3.570353,2.303821,0.340751,0.035553,-0.207460,2.759317,4.197634,0.402824,0.698680,-1.400422,-0.535561,1.906982,4.877587,-0.660201,0.964996,-2.246242,-0.817856,1.006762,4.982932,-0.166996,1.102415,-2.554103,-1.041561,0.906205,4.820127,1.638232,1.116263,-2.435858,-1.182176,0.872687,4.700417,3.582324,1.036368,-2.109888,-1.225852,0.417788,4.489727,4.765060,0.903210,-1.749829,-1.165132,-0.065841,4.106655,5.018845,0.704006,-1.471795,-1.039431,-0.238223,3.632602,4.702811,0.439821,-1.294961,-0.889229,-0.664391,3.120243,4.233547,0.133025,-1.207610,-0.744353,-1.454478,2.540847,3.730765,-0.191881,-1.166064,-0.625043,-2.402581,2.105102,3.309385,-0.500807,-1.176717,-0.529170,-3.192668,1.760337,2.801815,-0.753275,-1.296026,-0.469515,-3.796007,1.592743,2.131438,-0.934369,-1.600692,-0.473776,-4.126407,1.592743,1.595137,-1.069658,-2.023602,-0.571780,0
