ax0,ay0,az0,gx0,gy0,gz0,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3,ax4,ay4,az4,gx4,gy4,gz4,ax5,ay5,az5,gx5,gy5,gz5,ax6,ay6,az6,gx6,gy6,gz6,ax7,ay7,az7,gx7,gy7,gz7,ax8,ay8,az8,gx8,gy8,gz8,ax9,ay9,az9,gx9,gy9,gz9,target
-8.255960,-23.305540,-0.088405,1.112934,-2.583930,-4.781569,-24.749285,-27.186502,1.609741,1.000016,-2.974882,-3.111236,-49.601456,-27.270544,6.084820,0.553671,0.362589,3.171689,-51.912430,-37.507069,7.457355,0.168045,3.352784,13.101011,-19.051939,-54.063507,1.113358,-0.449808,4.829239,21.128838,40.511089,-48.674068,-3.536705,-2.546247,5.943505,21.504877,99.247437,-14.432258,7.912920,-2.096705,0.030227,11.767302,87.180634,4.297647,11.636395,-0.125967,-4.040145,-1.288570,30.180141,5.676752,8.414790,0.456732,-1.263003,-4.962664,3.739168,9.368176,3.387805,-0.331563,0.859002,-2.861964,0
-5.359440,-14.307411,-0.759940,-1.047421,-0.520514,-5.692369,-5.202984,-18.735355,0.175136,-0.748081,-0.548211,-5.594365,-5.583148,-28.352646,0.244368,0.120108,-1.594300,-6.392248,-17.999748,-39.784111,2.401835,1.085237,-4.133889,-6.773612,-64.251076,-36.950485,12.008578,1.751027,-2.254764,-0.641954,-81.787880,-47.322311,15.212644,2.590455,2.170341,13.752954,-26.504471,-80.548004,0.657767,1.733983,6.921417,26.868479,69.574745,-84.057816,-0.614764,-3.322824,10.069271,28.149992,140.043015,-26.473454,32.670906,-2.718819,2.630535,10.932135,70.780540,5.099588,32.825565,3.055975,-5.289700,-5.439902,0
-2.949498,-18.397629,0.617051,1.017061,-2.887530,-6.497709,-2.532686,-28.548950,1.772378,1.252484,-3.480882,-7.506514,-14.066019,-40.048248,4.586547,1.720134,-4.823114,-7.866572,-54.270119,-35.417294,8.768784,1.654088,-1.266199,-2.383661,-68.217842,-39.248230,8.723950,1.029844,3.723496,9.878590,-41.839718,-60.408978,0.131073,-0.419980,6.328065,20.826303,2.031767,-76.258842,-4.380180,-4.783300,10.313217,26.706558,98.784584,-58.797661,8.151323,-8.142076,7.970702,21.612469,129.817413,-5.959206,28.730228,-6.829671,0.669385,1.211604,47.292717,-8.963965,40.556828,-3.077813,-1.210805,-8.488687,0
4.659785,-10.385564,-5.762039,2.654371,-2.662760,-8.285221,0.542724,-13.548079,-4.695042,0.880707,-1.660347,-7.967772,-2.130405,-16.268013,-2.076024,-0.278300,-1.232111,-7.402118,-2.937852,-18.388872,0.559646,-0.678839,-1.254481,-6.890791,-3.307567,-21.543457,2.227342,-0.402936,-1.714675,-6.624475,-3.006864,-26.304996,3.674378,0.391751,-2.801244,-6.644715,-4.705007,-33.848969,6.569240,1.370728,-4.550407,-7.060168,-27.532213,-41.615288,9.505663,1.918273,-3.516036,-5.349355,-64.660652,-39.418953,16.976929,2.282594,1.369263,3.320826,-63.781513,-59.355812,14.736540,2.856771,4.846284,16.109316,0
1.476183,-25.983421,-0.230696,0.380033,-3.000448,-6.483860,-2.295023,-39.904945,3.401273,-0.118511,-3.648129,-6.770416,-43.923218,-45.154053,13.661688,-0.187753,-1.168195,-2.920553,-87.796707,-51.463051,23.934296,1.180046,4.381829,10.765954,-61.423717,-91.500267,4.032645,0.875380,6.496377,26.360348,18.582161,-125.251480,-11.377394,-5.989179,12.726039,33.678711,121.630951,-77.068764,11.702366,-12.362651,11.025878,22.030052,117.708382,-5.323915,66.087105,-7.827824,-0.607866,-0.220110,29.729031,-8.531061,52.140549,2.679937,-7.892139,-6.658564,8.031733,4.515919,17.507359,5.322856,-3.777025,-3.308309,0
-3.572976,-17.709833,0.484332,-0.537159,-1.143694,-6.789591,-4.951002,-20.192415,1.301493,-0.059921,-1.256612,-6.580799,-3.807071,-26.468266,1.640508,0.614391,-2.575408,-6.980273,-6.204587,-37.546375,4.633435,1.082042,-5.086235,-8.022101,-39.294495,-40.719223,13.879768,1.488972,-3.072886,-5.495296,-73.340355,-36.988342,19.925379,3.005908,2.215083,5.277716,-55.498192,-55.635372,6.415442,2.612825,4.817522,18.007616,0.415395,-72.197929,-4.744463,-0.894023,8.262585,25.450613,84.411201,-48.330135,5.168509,-2.951047,4.879307,21.144817,119.904419,-0.150274,14.308843,0.287355,-2.925880,5.940310,0
-0.708832,-22.036873,-0.572546,1.287637,-1.378052,-5.110735,-3.077326,-30.974129,0.363832,1.452753,-2.109888,-5.219392,-21.211693,-39.629150,0.865469,1.414404,-2.083256,-3.726958,-48.247353,-37.990063,7.309448,1.199221,0.219844,2.819087,-46.611576,-48.056694,9.743385,1.845836,2.450506,12.264780,-19.905390,-59.304253,-2.520168,1.485776,4.545879,19.588467,25.844011,-55.132164,-20.200884,-2.831737,6.289716,21.573053,74.563080,-22.771116,-14.494020,-6.878674,1.993508,15.020617,76.833244,1.055576,4.019967,-7.784148,-2.848115,7.611708,67.264580,7.071614,25.600685,-7.116228,1.355415,2.494182,0
9.807873,-7.765897,-10.887362,5.228048,-1.773265,-7.921966,5.660683,-12.736780,-12.551729,2.777941,-1.968208,-8.651671,1.502218,-17.235760,-8.705236,0.573911,-1.253416,-8.599474,-1.016036,-20.486408,-4.772312,-0.707601,-1.091496,-7.997600,0.354417,-25.164923,-1.588545,-1.200818,-1.190565,-7.600256,1.282690,-34.860325,1.835932,-0.846086,-2.002296,-7.860181,-5.822993,-46.143692,7.454754,0.225570,-3.663042,-8.106256,-39.820961,-47.351803,13.498232,1.280181,-1.773265,-4.118975,-68.995377,-48.054581,21.000584,2.654371,1.620665,6.852175,-49.573322,-69.589676,12.415490,3.863445,3.966376,19.257170,0
2.255251,2.452121,16.968544,3.102847,-1.546363,-1.036102,-2.836651,4.175218,2.677626,2.682068,-0.265916,-0.690957,-6.004436,5.128994,2.615938,2.242114,0.086686,0.347675,-2.051305,3.881113,-0.856525,2.444514,0.214517,1.052880,1.394454,2.186402,-5.709306,1.918273,0.250736,0.906939,2.322552,1.715826,-5.658118,0.873250,0.198539,0.237953,-0.283767,1.228076,-2.814960,0.172306,0.135688,-0.298940,-2.614896,0.936562,-1.042295,-0.030094,0.134623,-0.294679,-2.648690,0.191452,-0.746624,-0.144077,0.197473,-0.117845,-2.204664,-0.368297,-0.343469,-0.262321,0.134623,-0.074169,0
14.028577,1.531817,4.820598,0.154197,0.560728,-3.047320,12.271930,-0.362254,4.393910,0.740092,0.535162,-4.264916,8.980917,-2.303849,2.692125,1.183242,0.678972,-5.069190,5.962491,-4.369720,1.027339,1.443166,0.603339,-5.610344,3.267604,-6.805032,-0.077570,1.634913,0.429701,-5.998100,0.797129,-9.233317,-0.890202,1.838379,0.135688,-6.229262,-1.855509,-11.225761,-1.840793,1.943840,-0.390552,-6.225001,-3.968818,-12.635796,-2.356030,1.819204,-0.926380,-5.876660,-4.384226,-14.154020,-2.004612,1.576324,-1.345029,-5.320592,-2.956749,-18.231264,-1.290642,1.423991,-1.672064,-5.039363,0
