r0,p0,y0,r1,p1,y1,r2,p2,y2,r3,p3,y3,r4,p4,y4,r5,p5,y5,r6,p6,y6,r7,p7,y7,r8,p8,y8,r9,p9,y9,r10,p10,y10,r11,p11,y11,r12,p12,y12,r13,p13,y13,r14,p14,y14,r15,p15,y15,r16,p16,y16,r17,p17,y17,r18,p18,y18,r19,p19,y19,target
-0.574446,0.010717,-1.135253,-0.574109,0.010654,-1.139472,-0.573615,0.010554,-1.139828,-0.573105,0.010324,-1.142995,-0.572455,0.010098,-1.143275,-0.571789,0.009750,-1.144722,-0.571173,0.009467,-1.144949,-0.570595,0.009081,-1.147127,-0.570177,0.008612,-1.147235,-0.569895,0.008133,-1.147834,-0.569640,0.007670,-1.147903,-0.569420,0.007414,-1.149240,-0.569202,0.007321,-1.149446,-0.569038,0.007360,-1.150218,-0.568712,0.007465,-1.150429,-0.568379,0.007570,-1.151247,-0.568045,0.007739,-1.151382,-0.567727,0.007904,-1.152550,-0.567463,0.008126,-1.152623,-0.567103,0.008363,-1.152303,0
-0.566577,0.010396,-1.151663,-0.566660,0.010755,-1.151540,-0.566754,0.011084,-1.152115,-0.566862,0.011466,-1.151974,-0.566937,0.011882,-1.152157,-0.566961,0.012350,-1.152049,-0.566964,0.012834,-1.152336,-0.566961,0.013265,-1.152247,-0.566897,0.013671,-1.152027,-0.566818,0.014053,-1.151966,-0.566703,0.014406,-1.152084,-0.566568,0.014723,-1.152057,-0.566424,0.015002,-1.152497,-0.566293,0.015225,-1.152496,-0.566179,0.015436,-1.152749,-0.566081,0.015573,-1.152798,-0.566020,0.015696,-1.152923,-0.565923,0.015756,-1.153007,-0.565835,0.015813,-1.153654,-0.565781,0.015832,-1.153769,0
-0.565388,0.015707,-1.155194,-0.565151,0.015667,-1.155706,-0.564878,0.015596,-1.155804,-0.564608,0.015494,-1.156325,-0.564387,0.015387,-1.156408,-0.564173,0.015286,-1.157093,-0.563994,0.015198,-1.157170,-0.563850,0.015132,-1.157849,-0.563694,0.015067,-1.157944,-0.563594,0.014988,-1.158375,-0.563531,0.014906,-1.158454,-0.563509,0.014820,-1.159177,-0.563514,0.014693,-1.159215,-0.563528,0.014568,-1.159475,-0.563522,0.014441,-1.159477,-0.563485,0.014328,-1.159987,-0.563425,0.014218,-1.159978,-0.563296,0.014115,-1.160526,-0.563092,0.014010,-1.160511,-0.562787,0.013894,-1.160888,0
-0.561544,0.013019,-1.162408,-0.561594,0.012919,-1.162470,-0.561686,0.012860,-1.162999,-0.561784,0.012827,-1.163094,-0.561860,0.012807,-1.163532,-0.561889,0.012793,-1.163604,-0.561855,0.012782,-1.164218,-0.561777,0.012769,-1.164256,-0.561655,0.012735,-1.164701,-0.561491,0.012681,-1.164719,-0.561245,0.012590,-1.165177,-0.560901,0.012483,-1.165128,-0.560507,0.012339,-1.165483,-0.560083,0.012175,-1.165405,-0.559690,0.011974,-1.165691,-0.559329,0.011751,-1.165601,-0.559024,0.011517,-1.165804,-0.558802,0.011287,-1.165740,-0.558661,0.011071,-1.165951,-0.558613,0.010868,-1.165920,0
-0.558043,0.010191,-1.165931,-0.557845,0.010195,-1.165900,-0.557624,0.010228,-1.165887,-0.557365,0.010295,-1.165975,-0.557081,0.010379,-1.165986,-0.556780,0.010478,-1.166050,-0.556497,0.010575,-1.166090,-0.556230,0.010661,-1.166082,-0.555984,0.010740,-1.166145,-0.555774,0.010817,-1.166331,-0.555608,0.010886,-1.166417,-0.555503,0.010951,-1.166517,-0.555422,0.011022,-1.166629,-0.555354,0.011112,-1.166758,-0.555286,0.011207,-1.166874,-0.555212,0.011316,-1.167009,-0.555115,0.011433,-1.167144,-0.554977,0.011559,-1.167269,-0.554808,0.011681,-1.167387,-0.554616,0.011783,-1.167492,0
-0.553683,0.012317,-1.168285,-0.553557,0.012323,-1.168420,-0.553424,0.012314,-1.168529,-0.553288,0.012317,-1.168621,-0.553161,0.012312,-1.168713,-0.553059,0.012311,-1.168799,-0.552964,0.012313,-1.168882,-0.552897,0.012323,-1.168963,-0.552821,0.012323,-1.169038,-0.552751,0.012312,-1.169103,-0.552675,0.012301,-1.169158,-0.552580,0.012277,-1.169215,-0.552478,0.012240,-1.169277,-0.552375,0.012206,-1.169355,-0.552280,0.012162,-1.169453,-0.552195,0.012104,-1.169572,-0.552137,0.012016,-1.169700,-0.552090,0.011929,-1.169845,-0.552025,0.011841,-1.169982,-0.551958,0.011752,-1.170104,0
-0.551577,0.011500,-1.170536,-0.551517,0.011540,-1.170552,-0.551447,0.011578,-1.170548,-0.551364,0.011628,-1.170531,-0.551264,0.011692,-1.170496,-0.551161,0.011750,-1.170453,-0.551082,0.011806,-1.170413,-0.551025,0.011857,-1.170377,-0.551004,0.011883,-1.170330,-0.551022,0.011896,-1.170284,-0.551077,0.011889,-1.170239,-0.551168,0.011879,-1.170190,-0.551283,0.011850,-1.170137,-0.551435,0.011813,-1.170073,-0.551592,0.011777,-1.170005,-0.551739,0.011728,-1.169923,-0.551868,0.011671,-1.169819,-0.551997,0.011589,-1.169692,-0.552132,0.011510,-1.169549,-0.552256,0.011417,-1.169397,0
-0.552396,0.010697,-1.168638,-0.552380,0.010570,-1.168555,-0.552369,0.010429,-1.168488,-0.552339,0.010276,-1.168427,-0.552279,0.010097,-1.168367,-0.552181,0.009907,-1.168307,-0.552080,0.009686,-1.168256,-0.551982,0.009453,-1.168222,-0.551891,0.009221,-1.168196,-0.551804,0.009006,-1.168201,-0.551734,0.008795,-1.168223,-0.551670,0.008602,-1.168266,-0.551609,0.008414,-1.168309,-0.551547,0.008252,-1.168357,-0.551491,0.008095,-1.168401,-0.551444,0.007949,-1.168445,-0.551423,0.007823,-1.168476,-0.551409,0.007696,-1.168507,-0.551379,0.007594,-1.168511,-0.551327,0.007507,-1.168496,0
-0.550844,0.007587,-1.168266,-0.550749,0.007655,-1.168200,-0.550684,0.007717,-1.168122,-0.550614,0.007780,-1.168043,-0.550552,0.007826,-1.167962,-0.550489,0.007867,-1.167901,-0.550398,0.007910,-1.167858,-0.550278,0.007961,-1.167843,-0.550148,0.008003,-1.167864,-0.549978,0.008021,-1.167892,-0.549781,0.008026,-1.167929,-0.549570,0.008011,-1.167972,-0.549346,0.007989,-1.168013,-0.549119,0.007971,-1.168050,-0.548903,0.007953,-1.168084,-0.548698,0.007939,-1.168123,-0.548493,0.007935,-1.168160,-0.548293,0.007954,-1.168186,-0.548107,0.008008,-1.168205,-0.547912,0.008113,-1.168207,0
-0.546240,0.008602,-1.167525,-0.545977,0.008654,-1.167400,-0.545762,0.008685,-1.167298,-0.545598,0.008699,-1.167208,-0.545510,0.008706,-1.167141,-0.545470,0.008725,-1.167097,-0.545445,0.008763,-1.167078,-0.545443,0.008824,-1.167077,-0.545440,0.008897,-1.167085,-0.545443,0.008983,-1.167097,-0.545466,0.009094,-1.167113,-0.545499,0.009218,-1.167134,-0.545542,0.009354,-1.167151,-0.545532,0.009474,-1.167157,-0.545462,0.009596,-1.167148,-0.545355,0.009690,-1.167122,-0.545206,0.009782,-1.167100,-0.545043,0.009855,-1.167083,-0.544889,0.009910,-1.167077,-0.544724,0.009952,-1.167087,0
